ID,Eponym,Derived From / Source,Who/What,Historical / Mythological Rationale,Meaning,Category,Type,Action,Source Batch,Record Status
644,Cicerone,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
645,Claudian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
646,Coleridgean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
647,Corneillean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
648,Cromwellian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
649,Delian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
650,Dionysiac,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
651,Draconism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
652,Edwardian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
653,Elizabethan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
654,Fabianism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
655,Fenian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
656,Gallican,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
657,Jacobin,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
658,Jacobean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
659,Judaean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
660,Napoleonic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
661,Pauline,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
662,daguerreotype,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
663,mansard,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
664,morse,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
665,jacquard,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
666,doberman,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
667,pompadour,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
668,béchamel,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
669,camembert,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
670,roquefort,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
671,cognac,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
672,champagne,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
673,burgundy,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
674,china,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
675,damask,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
676,denim,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
677,cashmere,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
678,angora,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
679,muslin,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
680,calico,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
681,marocain,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
682,cordovan,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
683,suede,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 1,New candidate
684,gentian,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
685,lobelia,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
686,euonymus,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
687,petunia,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
688,jersey,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
689,holland,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
690,georgette,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
691,valenciennes,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
692,arras,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
693,damascene,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
694,damson,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
695,mayonnaise,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
696,bologna,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
697,parmesan,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
698,provolone,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
699,madeira,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
700,madeira cake,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
701,havana,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
702,meerschaum,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
703,frankfurter,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
704,wiener,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
705,pilsner,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
706,münster,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
707,limburger,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
708,edam,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
709,gouda,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
710,cheddar,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
711,stilton,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
712,worcestershire,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
713,tabasco,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
714,angostura,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
715,cologne,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
716,eau de Cologne,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
717,magenta,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
718,solferino,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
719,bermuda,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 2,New candidate
720,jean,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
721,chintz,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
722,gingham,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
723,kersey,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
724,worsted,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
725,mohair,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
726,morocco,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
727,tulle,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
728,gauze,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
729,organdy,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
730,delft,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
731,majolica,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
732,faience,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
733,porter,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
734,marsala,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
735,sherry,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
736,claret,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
737,armagnac,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
738,panama,,,,,,Candidate lexical/eponymous loanword,Verify,Eponymous Loanwords 3,New candidate
